pairId,type,shouldMatch,resumeId,jobId,threshold,chunkCount,goldRelevant,returned,pass,kept,overTopk,tp,fp,fn,tn,precision,recall,f1,keptGold,keptPrecision,predictedMatch,maxRaw,maxBoosted,minPassedRaw,boostWouldCross,elapsedSeconds
P3,positive,true,algorithm-zhou,algorithm-recsys,0.750000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.862052,0.967052,0.779478,0,0.145133
P3,positive,true,algorithm-zhou,algorithm-recsys,0.800000,2,2,2,1,1,0,1,0,1,0,1.000000,0.500000,0.666667,1,1.000000,true,0.862052,0.967052,0.862052,1,0.142338
P4,positive,true,analyst-wu,data-analyst,0.350000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.811441,0.916441,0.776695,0,0.561920
P4,positive,true,analyst-wu,data-analyst,0.400000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.811441,0.916441,0.776695,0,0.134149
P4,positive,true,analyst-wu,data-analyst,0.450000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.811441,0.916441,0.776695,0,0.139490
P4,positive,true,analyst-wu,data-analyst,0.500000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.811441,0.916441,0.776695,0,0.144094
P4,positive,true,analyst-wu,data-analyst,0.550000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.811441,0.916441,0.776695,0,0.143980
P4,positive,true,analyst-wu,data-analyst,0.600000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.811441,0.916441,0.776695,0,0.136726
P4,positive,true,analyst-wu,data-analyst,0.650000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.811441,0.916441,0.776695,0,0.143205
P4,positive,true,analyst-wu,data-analyst,0.700000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.811441,0.916441,0.776695,0,0.135052
P4,positive,true,analyst-wu,data-analyst,0.750000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.811441,0.916441,0.776695,0,0.135091
P4,positive,true,analyst-wu,data-analyst,0.800000,2,2,2,1,1,0,1,0,1,0,1.000000,0.500000,0.666667,1,1.000000,true,0.811441,0.916441,0.811441,1,0.139318
P5,positive,true,nurse-zhao,nurse-cardiology,0.350000,2,1,2,2,2,0,1,1,0,0,0.500000,1.000000,0.666667,1,0.500000,true,0.895986,0.999000,0.840782,0,0.592645
